species	plot	nitrogen	atribute	rust	p_mildew	d_mildew	l_spot	n_dmg_fung	mean_perc_dmg_fung	perc_leaves_dmg_fung	perc_dmg_fung	chewing	sucking	mining	n_dmg	mean_perc_dmg	n_leaves	perc_leaves_dmg	perc_dmg	date	comments
To	1	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Dc	1	0	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Ra	1	0	species_3	0	0	0	9	9	10	90	9	0	0	0	0	0	10	0	0	2022_spring	
To	1	1	species_1	0	5	0	5	7	10	70	7	1	0	0	1	5	10	10	0.5	2022_spring	
Dc	1	1	species_2	0	0	0	7	7	5	70	3.5	0	0	0	0	0	10	0	0	2022_spring	
Ra	1	1	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	2	0	species_1	2	0	0	6	6	5	60	3	0	1	0	0	0	10	0	0	2022_spring	
Dc	2	0	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Pg	2	0	species_3	2	0	0	9	9	5	90	4.5	0	3	0	3	10	10	30	3	2022_spring	
Cb	2	1	species_1	3	6	0	2	6	20	60	12	0	1	0	1	1	10	10	0.1	2022_spring	
Dc	2	1	species_2	1	0	0	0	1	5	10	0.5	0	1	0	1	20	10	10	2	2022_spring	
Pg	2	1	species_3	0	0	0	5	5	5	50	2.5	0	1	0	1	50	10	10	5	2022_spring	
Fr	3	0	species_1	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	2022_spring	
Hl	3	0	species_2	1	0	0	1	2	5	20	1	0	0	0	0	0	10	0	0	2022_spring	
Ra	3	0	species_3	0	0	0	9	9	15	90	13.5	0	0	0	0	0	10	0	0	2022_spring	
Fr	3	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Hl	3	1	species_2	0	1	1	0	1	10	10	1	0	0	0	0	0	10	0	0	2022_spring	
Ra	3	1	species_3	0	0	0	7	7	1	70	0.7	0	0	0	0	0	10	0	0	2022_spring	
Lp	4	0	species_1	0	0	0	10	10	35	100	35	0	0	0	0	0	10	0	0	2022_spring	
Pt	4	0	species_2	0	0	0	7	7	15	70	10.5	0	0	0	0	0	10	0	0	2022_spring	
Dc	4	0	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Lp	4	1	species_1	0	0	0	8	8	20	80	16	0	0	0	0	0	10	0	0	2022_spring	
Pt	4	1	species_2	0	0	0	7	7	10	70	7	0	0	0	0	0	10	0	0	2022_spring	
Dc	4	1	species_3	0	0	0	1	1	10	10	1	0	0	0	0	0	10	0	0	2022_spring	
Be	5	0	species_1	0	0	0	5	5	1	50	0.5	0	5	0	5	5	10	50	2.5	2022_spring	
Hl	5	0	species_2	3	0	0	4	4	5	40	2	0	0	0	0	0	10	0	0	2022_spring	
Dc	5	0	species_3	0	0	0	3	3	20	30	6	0	0	0	0	0	10	0	0	2022_spring	
Be	5	1	species_1	0	0	0	0	0	0	0	0	0	5	0	5	30	10	50	15	2022_spring	
Hl	5	1	species_2	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Dc	5	1	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	2022_spring	
Fr	6	0	species_1	0	0	0	0	0	0	0	0	0	1	0	1	20	10	10	2	2022_spring	
To	6	0	species_2	0	0	0	2	2	5	20	1	0	0	0	0	0	10	0	0	2022_spring	
Ra	6	0	species_3	0	0	0	5	5	10	50	5	0	2	0	2	1	10	20	0.2	2022_spring	
Fr	6	1	species_1	0	0	0	1	1	1	10	0.1	0	0	0	0	0	10	0	0	2022_spring	
To	6	1	species_2	0	0	0	3	3	10	30	3	1	0	0	1	5	10	10	0.5	2022_spring	
Ra	6	1	species_3	0	0	0	8	8	10	80	8	1	0	0	1	1	10	10	0.1	2022_spring	
Lp	7	0	species_1	0	0	0	9	9	25	90	22.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	7	0	species_2	0	0	0	3	3	15	30	4.5	0	0	0	0	0	10	0	0	2022_spring	
Sp	7	0	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Lp	7	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Cb	7	1	species_2	2	2	0	1	4	10	40	4	0	0	2	2	5	10	20	1	2022_spring	
Sp	7	1	species_3	0	0	0	0	0	0	0	0	1	0	0	1	5	10	10	0.5	2022_spring	
Pt	8	0	species_1	0	0	0	1	1	5	10	0.5	0	2	0	2	5	10	20	1	2022_spring	
Dc	8	0	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Sp	8	0	species_3	0	0	0	1	1	1	10	0.1	0	1	0	1	5	10	10	0.5	2022_spring	
Pt	8	1	species_1	0	0	0	0	0	0	0	0	0	3	0	3	5	10	30	1.5	2022_spring	
Dc	8	1	species_2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Sp	8	1	species_3	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	2022_spring	
Fr	9	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Pt	9	0	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	2022_spring	no poa
Pm	9	0	species_3	0	0	0	3	3	10	30	3	3	0	0	3	10	10	30	3	2022_spring	
Fr	9	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Pt	9	1	species_2	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	#DIV/0!	2022_spring	no poa
Pm	9	1	species_3	0	0	0	5	5	5	50	2.5	0	1	0	1	10	10	10	1	2022_spring	
Be	10	0	species_1	0	0	0	0	0	0	0	0	0	4	0	4	5	10	40	2	2022_spring	
To	10	0	species_2	0	0	0	5	5	10	50	5	5	0	0	5	20	10	50	10	2022_spring	
Dc	10	0	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	5	10	10	0.5	2022_spring	
Be	10	1	species_1	0	0	0	1	1	5	10	0.5	0	1	1	2	5	10	20	1	2022_spring	
To	10	1	species_2	0	0	0	1	1	1	10	0.1	0	2	0	2	15	10	20	3	2022_spring	
Dc	10	1	species_3	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	2022_spring	
Pt	11	0	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	11	0	species_2	3	0	0	0	3	10	30	3	0	1	0	1	5	10	10	0.5	2022_spring	
Sp	11	0	species_3	0	0	0	3	3	5	30	1.5	0	0	0	0	0	10	0	0	2022_spring	
Pt	11	1	species_1	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	11	1	species_2	2	6	0	0	6	30	60	18	0	0	0	0	0	10	0	0	2022_spring	
Sp	11	1	species_3	0	0	0	4	4	1	40	0.4	0	0	0	0	0	10	0	0	2022_spring	
Be	12	0	species_1	0	0	0	3	3	1	30	0.3	0	0	3	3	5	10	30	1.5	2022_spring	
Fr	12	0	species_2	0	0	0	0	0	0	0	0	0	0	1	1	1	10	10	0.1	2022_spring	
Dc	12	0	species_3	0	0	0	4	4	5	40	2	0	0	0	1	1	10	10	0.1	2022_spring	
Be	12	1	species_1	0	0	0	0	0	0	0	0	0	4	1	4	10	10	40	4	2022_spring	
Fr	12	1	species_2	0	0	0	2	2	10	20	2	0	1	0	1	1	10	10	0.1	2022_spring	
Dc	12	1	species_3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Be	13	0	species_1	0	0	0	2	2	5	20	1	0	2	0	3	10	10	30	3	2022_spring	
Hl	13	0	species_2	0	0	0	0	0	0	0	0	0	2	1	2	5	10	20	1	2022_spring	
To	13	0	species_3	0	0	0	2	2	1	20	0.2	0	1	1	2	10	10	20	2	2022_spring	
Be	13	1	species_1	0	0	0	0	0	0	0	0	1	3	0	3	1	10	30	0.3	2022_spring	
Hl	13	1	species_2	0	0	0	1	1	1	10	0.1	0	2	3	4	10	10	40	4	2022_spring	
To	13	1	species_3	0	0	0	2	2	1	20	0.2	1	0	0	1	1	10	10	0.1	2022_spring	
Sp	14	0	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	1	10	10	0.1	2022_spring	
Ra	14	0	species_2	0	0	0	5	5	1	50	0.5	0	0	1	0	1	10	0	0	2022_spring	
Pm	14	0	species_3	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	2022_spring	
Sp	14	1	species_1	1	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	2022_spring	
Ra	14	1	species_2	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	2022_spring	
Pm	14	1	species_3	0	0	0	4	4	5	40	2	1	0	0	1	1	10	10	0.1	2022_spring	
Be	15	0	species_1	0	0	0	0	0	0	0	0	0	6	1	7	15	10	70	10.5	2022_spring	
Pg	15	0	species_2	0	0	0	5	3	5	30	1.5	0	3	0	3	1	10	30	0.3	2022_spring	
Ra	15	0	species_3	0	0	0	7	7	5	70	3.5	2	0	1	2	5	10	20	1	2022_spring	
Be	15	1	species_1	0	0	0	0	0	0	0	0	0	1	0	1	10	10	10	1	2022_spring	
Pg	15	1	species_2	0	0	0	5	5	1	50	0.5	1	3	0	4	5	10	40	2	2022_spring	
Ra	15	1	species_3	0	0	0	0	0	0	0	0	5	0	0	0	5	10	0	0	2022_spring	
Be	16	0	species_1	0	0	0	0	0	0	0	0	1	4	0	4	10	10	40	4	2022_spring	
Pt	16	0	species_2	0	0	0	0	0	0	0	0	0	8	2	8	30	10	80	24	2022_spring	
Pm	16	0	species_3	0	0	0	4	4	5	40	2	1	0	0	1	1	10	10	0.1	2022_spring	
Be	16	1	species_1	0	0	0	4	4	5	40	2	0	0	0	0	0	10	0	0	2022_spring	
Pt	16	1	species_2	0	0	0	0	0	0	0	0	0	0	5	3	5	10	30	1.5	2022_spring	10
Pm	16	1	species_3	0	0	0	1	1	5	10	0.5	0	0	0	0	0	10	0	0	2022_spring	10
Be	17	0	species_1	0	0	0	2	2	1	20	0.2	0	6	0	6	10	10	60	6	2022_spring	
Pt	17	0	species_2	0	0	0	3	3	40	60	24	2	0	0	2	40	5	40	16	2022_spring	
To	17	0	species_3	0	0	0	4	2	5	20	1	2	0	0	0	0	10	0	0	2022_spring	
Be	17	1	species_1	0	1	0	0	1	15	10	1.5	0	2	0	2	10	10	20	2	2022_spring	
Pt	17	1	species_2	0	1	0	0	1	10	10	1	0	2	2	4	10	10	40	4	2022_spring	
To	17	1	species_3	0	0	0	5	5	1	50	0.5	3	1	0	4	10	10	40	4	2022_spring	
Be	18	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2022_spring	
Cb	18	0	species_2	4	0	1	0	4	7	40	2.8	5	0	0	0	0	10	0	0	2022_spring	
Ra	18	0	species_3	0	0	0	3	3	10	30	3	2	0	0	2	5	10	20	1	2022_spring	
Be	18	1	species_1	0	0	0	0	0	0	0	0	0	2	1	3	5	10	30	1.5	2022_spring	
Cb	18	1	species_2	3	0	0	0	3	5	30	1.5	1	3	0	4	5	10	40	2	2022_spring	
Ra	18	1	species_3	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	2022_spring	
Cb	19	0	species_1	1	0	1	2	3	5	30	1.5	0	1	0	1	1	10	10	0.1	2022_spring	
To	19	0	species_2	0	0	2	1	3	5	30	1.5	1	0	0	1	1	10	10	0.1	2022_spring	
Ra	19	0	species_3	0	0	0	5	4	1	40	0.4	1	0	0	1	30	10	10	3	2022_spring	
