plot_ID	treatment	species_1	species_2	species_3	Be	Cb	Dc	Fr	Hl	Lp	Pg	Pm	Pt	Ra	Sp	To	grasses	herbs	legumes	total cover	bare ground	date
1	C	Dc	Ra	To	0	0	15	0	0	0	0	0	0	30	0	70	1	3	0	119	15	August
1	N	Dc	Ra	To	0	0	10	0	0	0	0	0	0	15	0	85	0	3	0	113	5	August
2	C	Cb	Dc	Pg	0	20	0	0	0	0	80	0	0	0	0	0	0	1	0	101	5	August
2	N	Cb	Dc	Pg	0	70	4	0	0	0	40	0	0	0	0	0	0	6	0	120	0	August
3	C	Fr	Hl	Ra	0	0	0	50	40	0	0	0	0	30	0	0	0	2	0	122	7	August
3	N	Fr	Hl	Ra	0	0	0	40	40	0	0	0	0	40	0	0	0	1	0	121	0	August
4	C	Dc	Lp	Pt	0	0	30	0	0	60	0	0	12	0	0	0	0	2	0	104	10	August
4	N	Dc	Lp	Pt	0	0	30	0	0	75	0	0	7	0	0	0	0	2	0	114	4	August
5	C	Be	Dc	Hl	40	0	20	0	60	0	0	0	0	0	0	0	0	0	0	120	3	August
5	N	Be	Dc	Hl	25	0	5	0	80	0	0	0	0	0	0	0	0	1	0	111	0	August
6	C	Fr	Ra	To	0	0	0	15	0	0	0	0	0	30	0	60	1	3	0	109	10	August
6	N	Fr	Ra	To	0	0	0	25	0	0	0	0	0	50	0	40	0	0	0	115	0	August
7	C	Cb	Lp	Sp	0	50	0	0	0	45	0	0	0	0	4	0	0	3	0	102	15	August
7	N	Cb	Lp	Sp	0	50	0	0	0	50	0	0	0	0	3	0	0	2	0	105	2	August
8	C	Dc	Pt	Sp	0	0	15	0	0	0	0	0	4	0	100	0	0	0	0	119	1	August
8	N	Dc	Pt	Sp	0	0	7	0	0	0	0	0	3	0	100	0	0	0	0	110	0	August
9	C	Fr	Pm	Pt	0	0	0	40	0	0	0	40	0	0	0	0	0	0	0	80	20	August
9	N	Fr	Pm	Pt	0	0	0	65	0	0	0	50	0	0	0	0	0	4	0	119	5	August
10	C	Be	Dc	To	45	45	15	0	0	0	0	0	0	0	0	0	0	2	0	107	3	August
10	N	Be	Dc	To	70	30	5	0	0	0	0	0	0	0	0	0	5	1	0	111	0	August
11	C	Cb	Pt	Sp	0	80	0	0	0	0	0	0	3	0	6	0	0	1	0	90	15	August
11	N	Cb	Pt	Sp	0	100	0	0	0	0	0	0	2	0	2	0	0	3	0	107	2	August
12	C	Be	Dc	Fr	65	0	20	15	0	0	0	0	0	0	0	0	0	0	0	100	10	August
12	N	Be	Dc	Sa	50	0	6	50	0	0	0	0	0	0	0	0	0	4	2	112	7	August
13	C	Be	Hl	To	30	0	0	0	35	0	0	0	0	0	0	40	0	3	3	111	10	August
13	N	Be	Hl	To	50	0	0	0	25	0	0	0	0	0	0	50	0	2	0	127	0	August
14	C	Pm	Ra	Sp	0	0	0	0	0	0	0	15	0	45	40	0	0	0	1	101	10	August
14	N	Pm	Ra	Sp	0	0	0	0	0	0	0	5	0	95	25	0	0	5	0	130	0	August
15	C	Be	Pg	Ra	30	0	0	0	0	0	60	0	0	30	0	0	0	0	0	120	10	August
15	N	Be	Pg	Ra	30	0	0	0	0	0	25	0	0	70	0	0	0	0	0	125	0	August
16	C	Be	Pm	Pt	45	0	0	0	0	0	0	55	0	0	0	0	0	1	0	101	30	August
16	N	Be	Pm	Pt	45	0	0	0	0	0	0	45	0	0	0	0	0	1	0	91	10	August
17	C	Be	Pt	To	30	0	0	0	0	0	0	0	2	0	0	35	0	4	0	71	30	August
17	N	Be	Pt	To	30	0	0	0	0	0	0	0	2	0	0	70	0	5	0	107	3	August
18	C	Be	Cb	Ra	4	65	0	0	0	0	0	0	0	40	0	0	0	7	3	119	5	August
18	N	Be	Cb	Ra	2	65	0	0	0	0	0	0	0	60	0	0	0	2	0	129	0	August
