plot nr	nitrogen	root_dry_weight_mg_g
1	0	1.581631262
1	1	0.564971751
2	0	0.931325809
2	1	0.458505273
3	0	0.692940237
3	1	4.610729552
4	0	0.714085333
4	1	0.659653508
5	0	1.544699749
5	1	3.911435615
6	0	1.298390679
6	1	2.275999814
7	0	1.373940921
7	1	2.164697393
8	0	1.562353529
8	1	2.294467425
9	0	0.805363284
9	1	0.25060563
10	0	7.828309724
10	1	13.04695674
11	0	0.771261606
11	1	0.466289396
12	0	1.711212516
12	1	4.591251116
13	0	1.006802721
13	1	3.780393505
14	0	0.76692306
14	1	0.77000077
15	0	5.268348386
15	1	4.96031746
16	0	1.789922059
16	1	1.172332943
17	0	0.972897846
17	1	1.763365017
18	0	2.018978397
18	1	5.851125664
19	0	0.920079952
19	1	6.882174881
20	0	1.790830946
20	1	0.300528931
21	0	3.803747205
21	1	2.962835117
22	0	1.656639637
22	1	3.989295803
23	0	1.296082949
23	1	0.941004261
24	0	1.986540177
24	1	6.387173085
25	0	4.202443643
25	1	3.06401119
26	0	2.146999777
26	1	1.811018619
27	0	1.554651997
27	1	2.38744884
28	0	1.9250913
28	1	4.108443807
29	0	10.08535441
29	1	4.072998232
30	0	5.305546925
30	1	2.05154507
31	0	2.821947389
31	1	9.901256491
32	0	1.57480315
32	1	1.598538479
33	0	4.042592544
33	1	12.77544787
34	0	1.219728555
34	1	1.471060233
35	0	2.248749527
35	1	2.804407494
36	0	0.873667657
36	1	0.893228085
37	0	0.622952796
37	1	1.690370716
38	0	1.276431771
38	1	2.310166893
39	0	0.33725391
39	1	1.72734879
40	0	3.668672972
40	1	1.398026316
41	0	0.326250969
41	1	10.0491992
42	0	1.519921833
42	1	1.414917271
43	0	1.965280052
43	1	1.992566195
44	0	0.546588644
44	1	4.209674155
45	0	0.593061184
45	1	0.353071724
46	0	1.680735041
46	1	4.061677322
47	0	1.927096943
47	1	0.611450806
48	0	2.34741784
48	1	3.342086417
