plot	nitrogen	species	mg.g
49	0	Pg	1.057557027
49	0	Pg	1.307349834
49	1	Pg	0.840745988
49	1	Pg	0.870489631
50	0	Sp	1.370260043
50	0	Sp	1.155403965
50	1	Sp	0.849717794
50	1	Sp	1.27033148
51	0	Cb	1.054011536
51	0	Cb	1.12268362
51	1	Cb	1.37537797
51	1	Cb	1.421968035
52	0	Dc	0.24553483
52	0	Dc	0.091899698
52	1	Dc	0.152786789
52	1	Dc	0.186989638
53	0	Fr	2.347062386
53	0	Fr	1.647941768
53	1	Fr	1.675397928
53	1	Fr	1.986654534
54	0	Hl	0.46786589
54	0	Hl	0.329787234
54	1	Hl	1.103902721
54	1	Hl	0.842192904
55	0	Lp	1.549532382
55	0	Lp	1.431503889
55	1	Lp	1.77787865
55	1	Lp	0.93827964
56	0	Pm	0.984774568
56	0	Pm	0.69860555
56	1	Pm	0.4776575
56	1	Pm	1.195332175
57	0	Pt	1.137071651
57	0	Pt	0.286775138
57	1	Pt	0.288974729
57	1	Pt	0.100360756
58	0	Be	2.351921768
58	0	Be	2.251480593
58	1	Be	2.636601713
58	1	Be	1.9517229
59	0	Ra	2.247122026
59	0	Ra	3.161805391
59	1	Ra	5.289870613
59	1	Ra	2.438243952
60	0	To	1.734856432
60	0	To	2.588518391
60	1	To	3.645856476
60	1	To	1.24499512
