plot	nitrogen	betaglucosidase_spring	calibration_spring	betaglucosidase_summer	calibration_summer
1	0	0.603913549	1	1.38394539	1
1	1	0.497100971	1	1.843553723	1
2	0	0.553588398	1	1.738892466	1
2	1	0.318725972	1	1.418556678	1
3	0	0.327373023	1	1.850822908	1
3	1	0.039871487	1	1.748158552	1
4	0	0.971396112	1	3.292565001	1
4	1	0.147671148	1	2.085943123	1
5	0	0.011204725	1	2.291254268	1
5	1	-0.029990467	1	1.471184206	1
6	0	0.864419684	2	1.835154376	1
6	1	0.959050081	2	1.771130827	1
7	0	0.994482093	2	1.605914016	1
7	1	0.93251094	2	2.032358696	1
8	0	0.777742923	2	2.086465351	1
8	1	0.872316628	2	1.776454437	1
9	0	0.493649312	2	0.968146567	1
9	1	0.563982786	2	1.677272725	1
10	0	0.675217638	2	1.73193451	1
10	1	0.77149108	2	1.604719525	1
11	0	0.857419809	2	1.798382317	1
11	1	0.700146424	2	0.874020215	1
12	0	0.677670686	2	0.625735313	1
12	1	0.652750876	2	0.782026922	1
13	0	0.835836074	2	1.041651216	1
13	1	0.834223004	2	0.777352958	1
14	0	0.6344167	2	0.440884561	1
14	1	0.673884155	2	0.824055899	1
15	0	0.769684922	2	0.971758468	1
15	1	1.229522085	2	1.361760507	1
16	0	0.724008978	2	1.190414678	1
16	1	0.781296508	2	1.455282445	1
17	0	0.467239438	2	0.531151859	1
17	1	0.423694592	2	0.078332918	1
18	0	0.802569433	2	0.403755811	1
18	1	0.716125243	2	1.473931773	1
19	0	0.825760537	2	1.447071351	1
19	1	0.925147932	2	1.075833647	1
20	0	0.811102066	3	1.42520299	1
20	1	0.956001654	3	1.081130143	1
21	0	1.004196687	3	1.916823956	1
21	1	1.098029422	3	1.572745323	1
22	0	0.986307819	3	1.333889336	1
22	1	0.965668111	3	1.584398171	1
23	0	1.065517747	3	1.114679001	1
23	1	0.814709454	3	1.520177944	1
24	0	0.885521167	3	1.511321079	1
24	1	0.963809784	3	1.875836434	1
25	0	0.566636647	3	0.919779344	1
25	1	0.513547771	3	0.736641911	1
26	0	0.862094001	3	1.0113041	1
26	1	0.939051086	3	1.452123159	1
27	0	0.92237267	3	1.654232652	1
27	1	0.772208519	3	1.37495732	1
28	0	1.041749651	3	1.073814958	1
28	1	0.706369953	3	1.238365609	1
29	0	0.963852883	3	0.824186325	1
29	1	0.998540192	3	0.743496457	1
30	0	0.978966701	3	0.748667721	1
30	1	0.969197964	3	1.102051134	1
31	0	0.767703274	3	1.528599528	1
31	1	0.79864799	3	1.612932409	1
32	0	0.565818897	3	1.354313952	1
32	1	0.716200728	3	0.893085752	1
33	0	0.407011364	3	0.993105187	1
33	1	0.459099587	3	0.810862438	1
34	0	0.730332257	3	1.044646889	1
34	1	0.724045449	3	1.335899805	1
35	0	0.682232464	3	1.083223377	1
35	1	0.560088289	3	1.237003105	1
36	0	0.732047628	3	1.188408675	1
36	1	0.633485072	3	1.22646762	1
37	0	0.674344168	3	1.361738978	1
37	1	0.650503832	3	1.297001994	1
38	0	0.707479923	3	1.287139301	1
38	1	0.676396474	3	1.139283486	1
39	0	0.68804307	3	1.245939169	1
39	1	0.5536404	3	1.085045969	1
40	0	0.855487751	3	1.105528777	1
40	1	0.650717602	3	1.156876371	1
41	0	0.507794897	4	-0.06952222	2
41	1	0.739801128	4	0.284251964	2
42	0	0.870681165	4	0.3598815	2
42	1	1.066297933	4	-0.149823366	2
43	0	0.932767588	4	0.115530011	2
43	1	0.793121052	4	0.250389879	2
44	0	1.062690722	4	0.624660711	2
44	1	1.002686088	4	0.337734292	2
45	0	0.896863577	4	0.260667093	2
45	1	0.987457026	4	0.239626666	2
46	0	1.09486579	4	0.800807299	2
46	1	0.919465388	4	0.437091194	2
47	0	0.918362721	4	0.638985817	2
47	1	1.050446099	4	0.600887147	2
48	0	0.815746795	4	0.232555767	2
48	1	0.832537698	4	0.832984644	2
