plot	nitrogen	mono.betaglucosidase_spring	calibration_spring	mono.betaglucosidase_summer	calibration_summer
49	0	0.508941261	4	0.058977498	2
49	1	0.489070484	4	0.367650352	2
50	0	0.492322572	4	-0.140701566	2
50	1	0.496704153	4	-0.039039465	2
51	0	0.501598041	4	0.374555557	2
51	1	0.428601039	4	0.321742567	2
52	0	0.477052595	4	0.553093053	2
52	1	0.432160019	4	0.323092634	2
53	0	0.328422037	4	0.000189352	2
53	1	0.413179942	4	0.110621962	2
54	0	0.386851732	4	0.047669039	2
54	1	0.445710555	4	0.043266946	2
55	0	0.428149182	4	0.263657864	2
55	1	0.393973574	4	0.317193469	2
56	0	0.454316381	4	0.251204532	2
56	1	0.447023123	4	0.470115041	2
57	0	0.454316381	4	-0.120840843	2
57	1	0.407482376	4	-0.069404004	2
58	0	0.372881503	4	-0.007196386	2
58	1	0.445392271	4	0.11977651	2
59	0	0.499566688	4	-0.072294032	2
59	1	0.48063397	4	0.027268795	2
60	0	0.430131728	4	0.053395871	2
60	1	0.40716917	4	0.108843241	2
