plot	nitrogen	spring_biomass	summer_biomass	mean_biomass
1	0	54.17	76.19	65.18
1	1	158.11	143.76	150.935
2	0	192.4	24.86	108.63
2	1	202.57	119.48	161.025
3	0	151.65	86.34	118.995
3	1	323.09	174.31	248.7
4	0	64.05	71.24	67.645
4	1	216.79	90.99	153.89
5	0	141.25	98.55	119.9
5	1	221.72	138.61	180.165
6	0	217.07	144.05	180.56
6	1	353.98	247.43	300.705
7	0	97.87	60.31	79.09
7	1	214.41	112.07	163.24
8	0	102.76	60.71	81.735
8	1	204.44	110.84	157.64
9	0	169.68	87.68	128.68
9	1	363.73	184.5	274.115
10	0	96.81	81.27	89.04
10	1	176.32	148.84	162.58
11	0	146.69	77.09	111.89
11	1	232.7	127.22	179.96
12	0	143.1	82.37	112.735
12	1	232.01	148.44	190.225
13	0	114.15	153.68	133.915
13	1	202.1	151.08	176.59
14	0	86.86	61.4	74.13
14	1	324.55	168.29	246.42
15	0	194.17	75.2	134.685
15	1	460.27	196.48	328.375
16	0	97.85	81.37	89.61
16	1	205.49	175.98	190.735
17	0	31.76	43.87	37.815
17	1	126.06	84.04	105.05
18	0	140.99	107.7	124.345
18	1	260.73	182.79	221.76
19	0	107.41	94.21	100.81
19	1	246.27	161.91	204.09
20	0	78.68	30.26	54.47
20	1	118.42	79.56	98.99
21	0	117.22	82.54	99.88
21	1	243.74	134.04	188.89
22	0	95.36	68.98	82.17
22	1	206.18	135.13	170.655
23	0	175.96	79.64	127.8
23	1	292.22	113.84	203.03
24	0	216.67	71.74	144.205
24	1	282.83	171.2	227.015
25	0	138.77	110.18	124.475
25	1	478.04	234.13	356.085
26	0	148.19	70.26	109.225
26	1	296.68	158.69	227.685
27	0	213.64	73.67	143.655
27	1	369.34	74.4	221.87
28	0	180.6	94.43	137.515
28	1	367.9	168.32	268.11
29	0	210.88	92.45	151.665
29	1	330.53	164.89	247.71
30	0	59.19	73.09	66.14
30	1	527.24	158.58	342.91
31	0	171.81	141.11	156.46
31	1	342.58	249.69	296.135
32	0	86.45	44.6	65.525
32	1	181.1	101.45	141.275
33	0	110.48	128.77	119.625
33	1	324.34	224.47	274.405
34	0	247.53	93.15	170.34
34	1	507.47	144.15	325.81
35	0	133.39	108.15	120.77
35	1	428.61	208.26	318.435
36	0	251.89	78.54	165.215
36	1	580.24	168.27	374.255
37	0	154.21	84.21	119.21
37	1	420.46	173.99	297.225
38	0	175.24	78.92	127.08
38	1	424.1	139.65	281.875
39	0	109.65	71.55	90.6
39	1	232.64	110.23	171.435
40	0	183.84	92.86	138.35
40	1	272.08	158.53	215.305
41	0	59.5	38.16	48.83
41	1	327.88	146.27	237.075
42	0	293.23	102.85	198.04
42	1	449.69	170.17	309.93
43	0	90.78	77.34	84.06
43	1	197.06	132.35	164.705
44	0	115.37	68.19	91.78
44	1	244.57	114.57	179.57
45	0	298.14	84.33	191.235
45	1	487.47	173.29	330.38
46	0	186.88	80.29	133.585
46	1	290.2	160.69	225.445
47	0	184.93	71.9	128.415
47	1	293.88	85.16	189.52
48	0	285.71	219.77	252.74
48	1	501.41	113.27	307.34
