plot	nitrogen	species	mono.biomass.spring	mono.biomass.summer	mean.mono.biomass
49	0	Pg	18.7	36.56	27.63
49	1	Pg	163.88	87.23	125.555
50	0	Sp	58.38	24.38	41.38
50	1	Sp	100.22	106.27	103.245
51	0	Cb	74.61	59.75	67.18
51	1	Cb	223.57	142.52	183.045
52	0	Dc	70.19	63.58	66.885
52	1	Dc	115.21	27.12	71.165
53	0	Fr	188.64	76.33	132.485
53	1	Fr	381.05	162.87	271.96
54	0	Hl	167.95	116.84	142.395
54	1	Hl	263.06	135.7	199.38
55	0	Lp	103.08	56.72	79.9
55	1	Lp	139.57	99.79	119.68
56	0	Pm	42.03	50.13	46.08
56	1	Pm	210.51	172.24	191.375
57	0	Pt	52.11	13.87	32.99
57	1	Pt	127.04	17.03	72.035
58	0	Be	102.72	52.89	77.805
58	1	Be	167.08	127.91	147.495
59	0	Ra	425.38	315.64	370.51
59	1	Ra	511.51	384.71	448.11
60	0	To	134.28	169.85	152.065
60	1	To	102.83	106.21	104.52
