plot	nitrogen	phosphatase_spring	calibration_spring	phosphatase_summer	calibration_summer
1	0	1.643995639	1	3.00618557	1
1	1	1.827021519	1	3.530119578	1
2	0	1.974104561	1	3.798937605	1
2	1	2.120715541	1	3.442331693	1
3	0	1.784700709	1	3.139298053	1
3	1	1.79829218	1	3.125314495	1
4	0	1.875381596	1	3.089217912	1
4	1	2.136411063	1	3.356524365	1
5	0	1.857367707	1	3.767371586	1
5	1	2.008059605	1	4.241771008	1
6	0	2.11443498	1	3.716214729	1
6	1	2.351044782	1	3.040821709	1
7	0	2.612043723	1	3.256581786	1
7	1	2.248376708	1	3.625255309	1
8	0	2.322107324	1	3.819649937	1
8	1	2.444915859	1	3.485673787	1
9	0	1.70669784	1	3.06576728	1
9	1	1.737922741	1	3.311052277	1
10	0	1.98637302	1	3.588437275	1
10	1	2.476165073	1	3.528489792	1
11	0	1.728512738	1	3.116059948	1
11	1	2.547928615	1	3.326496795	1
12	0	2.271229901	1	3.560922171	1
12	1	2.104099369	1	3.419728619	1
13	0	2.11290304	1	2.453224751	1
13	1	2.294260737	1	3.191076393	1
14	0	2.182972694	1	4.118531255	1
14	1	1.932479928	1	3.499229227	1
15	0	2.108638933	1	3.007065993	1
15	1	2.130792238	1	3.747407373	1
16	0	2.120564094	1	3.003617791	1
16	1	2.300077838	1	3.078169331	1
17	0	1.312796153	1	2.786411409	1
17	1	1.552818375	1	2.46228823	1
18	0	2.263479112	1	3.848018557	1
18	1	2.049919901	1	3.56516784	1
19	0	2.011831479	1	3.639288093	1
19	1	2.464199537	1	3.401385922	1
20	0	2.030255225	1	3.331146097	1
20	1	2.327232002	1	3.706227067	1
21	0	2.314477599	1	4.037094698	2
21	1	2.751055897	1	4.129324101	2
22	0	2.247344806	1	3.458132213	2
22	1	2.508895625	1	3.828903416	2
23	0	2.261030722	1	3.841233495	2
23	1	2.083145291	1	3.947536292	2
24	0	2.158236359	1	4.279287406	2
24	1	2.321149193	1	5.279337741	2
25	0	1.627642862	1	2.816206964	2
25	1	1.427836644	1	2.642231615	2
26	0	2.111244445	1	3.370803372	2
26	1	2.369589755	1	3.60188742	2
27	0	2.094357002	1	4.324341935	2
27	1	1.699861037	1	3.566204018	2
28	0	2.171507272	1	2.79515916	2
28	1	1.738837435	1	3.219975997	2
29	0	1.665526014	1	2.455516615	2
29	1	2.087536545	1	2.00510664	2
30	0	1.638612141	1	3.175188959	2
30	1	1.817578294	1	3.3939323	2
31	0	2.163364285	1	3.146367017	2
31	1	1.673296581	1	3.998078773	2
32	0	1.908588162	1	3.326155371	2
32	1	1.595693149	1	3.143547332	2
33	0	1.540922083	1	2.833451282	2
33	1	1.416384917	1	3.073651256	2
34	0	2.065451521	1	3.447558227	2
34	1	2.03100222	1	3.634094344	2
35	0	2.041812225	1	3.587705288	2
35	1	2.058585979	1	3.79738396	2
36	0	2.063072226	1	4.167147182	2
36	1	1.936290166	1	3.670929053	2
37	0	2.283679823	1	3.887617537	2
37	1	1.859819328	1	3.441833307	2
38	0	1.835048483	1	3.257288775	2
38	1	1.745578324	1	3.230849798	2
39	0	2.131185498	1	3.107413488	2
39	1	1.878595206	1	3.228512243	2
40	0	2.395269999	1	3.572345582	2
40	1	1.900970719	1	4.296937054	2
41	0	1.443028694	2	2.801005996	3
41	1	1.677745905	2	2.134895006	3
42	0	1.96892145	2	2.923573065	3
42	1	2.112303812	2	2.650242368	3
43	0	2.378787605	2	2.160134056	3
43	1	1.840086537	2	2.570581716	3
44	0	2.46646939	2	3.392923793	3
44	1	2.302513193	2	2.686552349	3
45	0	2.049018144	2	4.238606311	3
45	1	2.160344813	2	2.9427198	3
46	0	2.157732842	2	3.63660994	3
46	1	2.155897102	2	3.829739796	3
47	0	2.252555576	2	2.860889207	3
47	1	2.197682946	2	3.074482495	3
48	0	2.06252774	2	2.949177234	3
48	1	1.970928174	2	3.114802479	3
