plot	nitrogen	mono.phosphatase_spring	calibration_spring	mono.phosphatase_summer	calibration_summer
49	1	1.439108338	6	1.955927485	4
49	0	1.616900384	6	3.266667379	4
50	1	1.602857824	6	1.688158448	4
50	0	1.667875791	6	1.780533742	4
51	1	1.30049031	6	2.034698433	4
51	0	1.682617684	6	3.040770304	4
52	1	1.666166902	6	3.359869923	4
52	0	1.817267042	6	2.350695827	4
53	1	1.593718096	6	3.71810503	4
53	0	1.675834561	6	2.588694312	4
54	1	1.395890772	6	3.09202979	4
54	0	1.7040896	6	2.421591454	4
55	1	1.63759865	6	3.179179717	4
55	0	1.886947188	6	2.366259128	4
56	1	1.555561884	6	2.683454239	4
56	0	1.833313321	6	2.268696182	4
57	1	1.473172932	6	1.919839026	4
57	0	1.7089953	6	2.465707832	4
58	1	1.414918955	6	2.662176373	4
58	0	2.114278039	6	2.384584176	4
59	1	1.888321792	6	2.421715202	4
59	0	2.116744353	6	2.313540774	4
60	1	1.755219815	6	2.461656075	4
60	0	1.810542902	6	1.996930589	4
