plot nr	nitrogen	weight_before	wetweight.after	weight_after
1	0	15.66	20.9	12.31
1	0	15.56	20.56	12.86
1	1	15.76	22.55	11.99
1	1	15.72	24.2	11.78
2	0	15.52	24.84	12.63
2	0	10.97	10.83	7.45
2	1	15.48	25.48	12.24
2	1	15.56	22.98	12.21
3	0	15.71	24.61	11.61
3	0	15.63	25.3	11.62
3	1	15.72	27.99	10.52
3	1	15.52	27.92	10.4
4	0	15.79	17.24	9.94
4	0	15.57	23.06	11
4	1	15.59	20.15	9.99
4	1	15.74	22.11	10.77
5	0	15.64	25.08	10.77
5	0	15.61	26.73	11.09
5	1	15.52	30.54	10.84
5	1	15.7	29.8	10.72
6	0	15.56	16.6	8.99
6	0	15.54	21.56	9.95
6	1	15.49	24.9	10.22
6	1	15.7	17.71	11.16
7	0	15.59	20.71	9.72
7	0	15.68	23.02	10.7
7	1	15.77	23.84	11.69
7	1	15.79	21.23	11.38
8	0	15.59	8.58	7.14
8	0	15.62	10.38	7.61
8	1	15.59	8.52	7.72
8	1	15.78	12.26	8.4
9	0	15.71	17.91	11.95
9	0	15.57	21.05	12.03
9	1	15.53	20.37	11.31
9	1	15.75	21.51	11.88
10	0	15.58	24.67	10.48
10	0	15.51	16.23	9.07
10	1	15.52	26.82	10.85
10	1	15.61	24.15	10.85
11	0	15.57	16.87	9.03
11	0	15.78	21.97	10.03
11	1	15.71	29.67	11.13
11	1	15.69	19.78	9.52
12	0	15.55	26.26	11.1
12	0	15.66	26.82	11.81
12	1	15.58	29.99	11.24
12	1	15.44	25.09	10.71
13	0	15.5	20.34	11.36
13	0	15.58	28.84	12.13
13	1	15.86	27.92	11.97
13	1	15.58	28.78	11.29
14	0	15.54	16.65	9.21
14	0	15.5	16.29	9.57
14	1	15.7	21.52	10.89
14	1	15.6	19.32	10.65
15	0	15.72	21.96	11.51
15	0	15.52	26.55	12.18
15	1	15.74	20.96	9.23
15	1	15.77	25.21	10.92
16	0	15.72	20.76	10.56
16	0	15.58	21.47	11
16	1	15.76	23.86	11.9
16	1	15.77	23.39	11.02
17	0	15.49	20.85	12.39
17	0	15.76	24.46	12.24
17	1	15.68	26.07	14.19
17	1	15.66	27.64	10.64
18	0	15.63	15.8	10.18
18	0	15.6	13.72	8.47
18	1	15.72	14.34	9.13
18	1	15.75	22.48	10.92
19	0	15.6	13.5	8.59
19	0	15.8	21.89	9.97
19	1	15.67	11.05	8.09
19	1	15.55	16.93	8.98
20	0	15.68	14.68	9.07
20	0	15.63	17.19	9.05
20	1	15.66	21.84	11.31
20	1	15.78	28.81	12.46
21	0	15.7	12.08	8.28
21	0	15.65	11.25	7.92
21	1	15.51	20.05	10.07
21	1	15.74	13.09	7.96
22	0	15.52	22.71	11.56
22	0	15.77	21.68	10.65
22	1	15.64	22.63	10.68
22	1	15.72	18.41	9.45
23	0	15.64	23.74	10.67
23	0	15.51	17.1	8.69
23	1	15.59	13.76	8.24
23	1	15.53	15.01	7.29
24	0	15.55	24.94	11.31
24	0	15.58	26.29	12.32
24	1	15.65	27.55	12
24	1	15.66	29.67	12.12
25	0	15.76	23.37	9.88
25	0	15.74	24.73	10.96
25	1	15.53	18.24	10.16
25	1	15.48	21.76	9.05
26	0	15.49	28.99	12.08
26	0	15.51	24.71	12.28
26	1	15.73	30.67	11.98
26	1	15.49	39.68	10.1
27	0	15.73	31.36	13.14
27	0	15.49	31.98	12.53
27	1	15.77	32.01	12.98
27	1	15.65	30.77	12.55
28	0	15.66	32.48	11.77
28	0	15.78	32.18	11.7
28	1	15.8	31.61	12.04
28	1	15.57	30.88	12.48
29	0	15.65	30.14	11.2
29	0	15.78	28.92	11.83
29	1	15.53	24.77	10.27
29	1	15.79	28.73	10.75
30	0	15.67	19.89	10.38
30	0	15.74	23.9	10.75
30	1	15.53	21.04	9.48
30	1	15.71	15.09	9.67
31	0	15.75	15.56	8.27
31	0	15.74	19.61	9.1
31	1	15.53	9.39	6.43
31	1	15.53	9.26	7.01
32	0	15.73	26.05	11.89
32	0	15.69	23.35	11.61
32	1	15.48	28.35	11.18
32	1	15.6	27.77	13.02
33	0	15.54	22.61	10.55
33	0	15.57	20.27	10.49
33	1	15.56	32.76	12.56
33	1	15.58	22.98	11.41
34	0	15.67	21.02	9.52
34	0	15.75	25.59	11.63
34	1	15.61	19.12	10.2
34	1	15.69	24.87	11.69
35	0	15.79	28.84	10.96
35	0	15.67	24.2	11.45
35	1	15.77	19.88	8.76
35	1	15.76	22.62	9.67
36	0	15.61	28.54	11.81
36	0	15.79	29.24	11.22
36	1	15.46	25.15	10.1
36	1	15.7	27.22	10.6
37	0	15.59	30.07	10.75
37	0	15.78	25.1	10.41
37	1	15.63	30.74	12.84
37	1	15.68	30.05	11.72
38	0	15.75	30.54	13.91
38	0	15.68	34.49	13.2
38	1	15.51	34.9	12.61
38	1	15.78	32.86	12.23
39	0	15.58	24.12	11.67
39	0	15.7	23.31	10.63
39	1	15.61	20.39	10.82
39	1	15.67	28.72	11.02
40	0	15.54	16.77	10.2
40	0	15.63	25.59	11.02
40	1	15.79	16.41	10.46
40	1	15.72	20.71	9.39
41	0	15.76	25.62	11.62
41	0	15.56	23.47	10.78
41	1	15.55	24.69	10.62
41	1	15.59	25.46	10.35
42	0	15.64	29.14	11.79
42	0	15.7	35.74	11.45
42	1	15.53	31.66	11.44
42	1	15.67	39.89	12.1
43	0	15.52	14.87	7.97
43	0	15.66	27.42	11.24
43	1	15.55	16.15	8.36
43	1	15.72	30.58	12.67
44	0	15.66	20.08	10.54
44	0	15.57	29.71	11.26
44	1	15.57	25.52	9.88
44	1	15.67	23.38	11.07
45	0	15.8	28.99	12.25
45	0	15.64	31.62	12.81
45	1	15.67	34.13	11.74
45	1	15.45	33.26	11.81
46	0	15.52	23.09	10.46
46	0	15.58	26.23	10.79
46	1	15.53	29.3	11.44
46	1	15.57	26.16	10.97
47	0	15.54	21.17	10.88
47	0	15.63	24.05	10.92
47	1	15.55	27.85	10.71
47	1	15.69	26.83	10.71
48	0	15.5	23.99	8.73
48	0	15.57	32.29	10.59
48	1	15.62	23.85	10.25
48	1	15.57	25.09	11.13
