plot	nitrogen	mono.weight.before	mono.weight.wet	mono.weight.after
49	0	15.68	28.07	14.48
49	0	15.77	29.58	14.83
49	1	15.56	31.05	15.5
49	1	15.67	30.68	15.11
50	0	15.45	13.69	10.07
50	0	10.86	12.42	9.12
50	1	15.67	14.77	10.3
50	1	15.6	16.69	10.79
51	0	15.57	21.96	12.36
51	0	15.65	23.22	11.91
51	1	15.58	28.32	12.37
51	1	15.79	32.38	13.56
52	0	15.61	11.13	8.1
52	0	15.5	11.44	8.43
52	1	15.49	15.54	9.52
52	1	12.75	9.09	7.68
53	0	15.65	21.77	12.47
53	0	15.66	23.37	12.21
53	1	15.73	30.22	11.16
53	1	15.56	28.22	10.78
54	0	15.62	26.02	12.21
54	0	15.8	26.74	13.03
54	1	15.6	27.43	12.58
54	1	15.67	32.82	13.53
55	0	15.62	19.94	10.84
55	0	15.79	29.02	11.22
55	1	15.54	23.63	10.43
55	1	15.68	20.6	9.84
56	0	15.72	22.12	12.37
56	0	15.55	21.55	12.78
56	1	15.51	24.1	12.53
56	1	15.72	22.01	12.26
57	0	8.07	7.82	6.94
57	0	8.12	7.24	6.53
57	1	9.97	9.6	6.93
57	1	9.47	6.97	6.62
58	0	15.59	22.23	11.31
58	0	15.59	23.28	12.06
58	1	15.55	27.65	10.76
58	1	15.5	28.06	10.94
59	0	15.79	17.4	9.9
59	0	15.64	14.28	8.37
59	1	15.66	17.54	9.42
59	1	15.68	18.26	8.41
60	0	15.71	29.79	13.84
60	0	15.52	29.8	12.84
60	1	15.54	29.16	12.51
60	1	15.58	33.83	12.91
