plot_ID	Treatment	Date	Total cover	bare ground	grasses	forbs	legumes	Be	Cb	Dc	Fr	Hl	Lp	Pg	Pm	Pt	Ra	Sp	To	Va	Cg	Ch	Gp	Bl	Sa	Vh	Tr	Tp	Am	Bp	Cbp	Ar	Cebe	Ml	Pl	Pa	Hr	Lo	Sm	Ls	Oa	Lapu	Rr	Raac	Ea	Cj	Sar	Epci
1	C	05/06/2023	150	50	15	130	0			0		15	5				80		60		5	2				7			5																15			
1	N	05/06/2023	175	15	0	175	0			7							120		80		3								5																10			
2	C	05/06/2023	225	15	25	200	7		110	15		15		10		2				0	3					5	10		10				20		7										10			
2	N	05/06/2023	300	10	10	250	75		250	0		5	5	15					5	1	5	1				75			10				20															
3	C	05/06/2023	275	5	250	35	2		15		110	35					45								10	2																						
3	N	05/06/2023	300	15	275	40	5				150	35					45		0						2	5																			7			
4	C	05/06/2023	325	5	150	40	110		0	65			85	10		40	7		2		2					180							25															
4	N	05/06/2023	300	5	200	50	55			40			150	5		40	5				3					20	40																		15			
5	C	05/06/2023	450	15	400	15	10	400		7		30					5		5							10			15																			
5	N	05/06/2023	500	10	400	0	40	400		3		30														20	50																					
6	C	05/06/2023	550	5	120	180	40				65	15					180		30						0	5	45																		30			
6	N	05/06/2023	650	10	175	350	50				180						350		25							50	10																		15			
7	C	05/06/2023	400	5	40	150	250		175			25	30					65	10	2	5					250																						
7	N	05/06/2023	400	5	50	300	50		300				50					65	10							60																			15			
8	C	05/06/2023	350	5	30	200	110			15		5				20		180			7	1				30	65		7																			
8	N	05/06/2023	425	0	5	425	0			0						5		425			10	3							1		2																	
9	C	06/06/2023	200	15	110	70	20		5	0	110	7			70	5			5							20			1																			
9	N	06/06/2023	300	10	150	90	80				150				90	0			10								80																					
10	C	06/06/2023	325	5	100	70	150	110	15	10									40		10				1	35	130		5																7	7		
10	N	06/06/2023	325	5	250	75	10	250	10	20						5			65	1	3	1					10		15																	5		
11	C	06/06/2023	375	5	100	275	0		230							100		40		1	20						1									1					0							
11	N	06/06/2023	500	5	130	400	0		400							75		20		1	15															5										25		
12	C	06/06/2023	250	10	225	30	0	120	20	35	120					2	0				20	3																										
12	N	06/06/2023	250	10	235	20	0	120	5	20	120						0				2	1			7	7			5																			
13	C	06/06/2023	275	5	110	50	110	50				50							30		1					25	90	0																	25			
13	N	06/06/2023	325	5	130	75	110	50				80							35	1	5	1				40	80	0																	70			
14	C	06/06/2023	525	5	10	450	70					10			80	1	275	110								15	70	0																	20			
14	N	06/06/2023	500	7	2	475	30								90		250	110	20							45																			110			
15	C	06/06/2023	450	10	200	250	40	200	10					5			250		10						2	45																			20			
15	N	06/06/2023	650	5	110	500	50	110	10					30			400		10	2	5				10	50																			80			
16	C	06/06/2023	250	10	150	90	20	150				15			90	5			10		3					20																						
16	N	06/06/2023	325	5	200	100	40	200							80	10			10	3	5				0	0		45																	20			
17	C	06/06/2023	150	15	30	80	60	0	10			15				20			70	2	15	1			3	40			1																			
17	N	06/06/2023	275	10	30	250	20	0	15			5				30			100	1	20	1			5			20																	90			
18	C	06/06/2023	500	20	20	450	40	0	150			15				5	250		40		5	1				40	0	20	3																			
18	N	06/06/2023	475	15	10	475	2	5	130			10					350		20		1							2																		60		
19	C	06/06/2023	525	15	15	450	40		180			15				0	300		30	1	20	1			10	20				5																15		
19	N	06/06/2023	400	10	15	375	35		150			15				0	200		20	1	10	1				40				3															30	15		
20	C	06/06/2023	350	10	200	150	0		90	15		110		40		50			20	2	15					1				1																		
20	N	06/06/2023	375	5	175	200	0		70	20		110		70		35			30	2	15					2										4									45	10		
21	C	06/06/2023	375	15	120	275	10		180			40		4		40	180		10		5					2				10															25	15		
21	N	06/06/2023	550	10	60	450	50		180			50		0		20	250				5					50																			20	15		
22	C	06/06/2023	250	5	20	200	35		40			15			100	10			25	2	5	1				40																			20	10		
22	N	06/06/2023	300	5	25	250	50		150			20			90	10			60		5					50																			5	10		
23	C	06/06/2023	400	10	130	250	0		25			35	130			10	200		65		3	2			10																				40	25		
23	N	06/06/2023	450	5	150	300	0					40	130			30	250		20	2	15	5				2					7															50		
24	C	06/06/2023	175	5	120	80	0	120						80		5					2									2															510	5		
24	N	06/06/2023	200	5	150	75	0	150						65		2					3									15															25			
25	C	06/06/2023	475	15	150	325	0	150				10			30		275		30		5	1																										
25	N	06/06/2023	650	0	250	350	30	200							30		350		5									30																				
26	C	06/06/2023	325	10	275	20	75				150	110							20							30	35																					
26	N	06/06/2023	350	10	300	30	5				60	220							35							5																						
27	C	06/06/2023	325	10	125	60	30					125		35				35								30							1															
27	N	06/06/2023	350	5	150	90	15					150		15				60		2	10					15							7												20			
28	C	06/06/2023	325	5	250	75	15			40	45	200														15			25				5												5	10		
28	N	06/06/2023	350	5	250	25	35			15	90	150					10								3		35	0	10				2												5			
29	C	06/06/2023	575	10	250	325	15					150	100				250		10	1					10	15							20												60	20		
29	N	06/06/2023	550	10	250	300	10					175	75				180		5	1						10							40												190			
30	C	06/06/2023	275	5	40	175	15				30	10			85		110		10							15							15												30	10		
30	N	06/06/2023	325	10	60	275	0				30	30			80		200		7	2					5								10												7	15		
31	C	06/06/2023	350	0	10	325	5					10		125		3	175		10							5				3			20												15	25		
31	N	06/06/2023	750	5	50	700	0							15		40	675		15							2							5												5	15		
32	C	06/06/2023	275	10	110	150	10	100				5				10		150									10	0					4													5		
32	N	06/06/2023	350	5	100	225	0	100								0		225																														
33	C	06/06/2023	700	5	150	475	125	125				5				10	350	85	10		10						110	0																				
33	N	06/06/2023	800	5	300	450	50	300				15					350	100	10								50	0																				
34	C	06/06/2023	500	5	200	150	150				225	5				5		150	10		2				5		150	0																				
34	N	06/06/2023	475	10	300	125	0			1	300	7				0		125								1																						
35	C	06/06/2023	500	20	75	400	5			0		75				0	325	2	30	2						3							25			1										90		
35	N	06/06/2023	900	15	350	550	10					300				1	350		40	3	3					10							40													175		
36	C	06/06/2023	375	5	300	75	0		10	50	300	20							30						10								15												1	30		
36	N	06/06/2023	450	5	400	50	10			30	375								10						15	10							7													20		
37	C	06/06/2023	800	0	75	150	575		100			40	10	40					15						25	150	50	0						350														
37	N	06/06/2023	525	10	300	200	30		125			275	15	90							5		2		15	20	10	0																				
38	C	06/06/2023	200	5	75	150	0					75		125	15		5																															
38	N	06/06/2023	425	10	225	150	50		10			225		125	25				10															50														
39	C	06/06/2023	275	10	175	75	0	10			175	10				5			75	2					2																					5		
39	N	06/06/2023	300	10	125	175	0	15	25		100	10					5		125	5	10				2																							
40	C	06/06/2023	650	15	10	500	150		225			10			0	3	275		10								125	0																				
40	N	06/06/2023	700	10	5	700	0		300			5			0		400		5											10																		
41	C	06/06/2023	275	20	175	75	25		75		175					5					5		5				25																		5			
41	N	06/06/2023	425	10	250	175	0		175		250					2			5														1												5			
42	C	06/06/2023	450	10	425	25	0	5	10			425				0	1								2																							
42	N	06/06/2023	475	10	450	5	10	10				450				0	3		3								10																					
43	C	06/06/2023	350	5	30	125	200		75	75		5	20														200	0																				
43	N	06/06/2023	300	15	45	275	0		250	50		7	30				15				5												1															
44	C	06/06/2023	200	10	75	125	15		75			10	75	75			30		10		3								2					20			10						2					
44	N	06/06/2023	400	10	60	250	50		75	0			50	35			150		20		10						35	0	2					20									5					
45	C	06/06/2023	450	5	250	75	125		2		25	225	2					75																50														
45	N	06/06/2023	550	10	375	150	30		5		125	275					5	150																30														
46	C	06/06/2023	350	5	125	25	200	125		35		15	20							1							75	0						125														
46	N	06/06/2023	550	5	400	100	50	350	5	75		25	5						5		2						35	0	25					20														
47	C	06/06/2023	450	5	375	15	50		5		300	5	50			5	5		5		1				5		30	0																				
47	N	06/06/2023	500	5	425	50	10		1		325	2	75			7	2		2						5		10	0							15													
48	C	06/06/2023	700	15	5	700	0		20				5	75	50		650		30														15											3		75		
48	N	06/06/2023	725	15	5	725	0							15	15	5	675		30		5																							5		75		
