"species"	"value"	"plot"
"To"	0.0863936711041214	1
"Dc"	0.194364859726484	1
"Ra"	0.719241469169395	1
"Cb"	1	2
"Dc"	1.64949001201022e-17	2
"Pg"	4.44010059794e-17	2
"Fr"	0.905206382054095	3
"Hl"	0.0947842979638897	3
"Ra"	9.3199820150806e-06	3
"Lp"	0.644863405597977	4
"Pt"	0.00768928634602923	4
"Dc"	0.347447308055994	4
"Be"	0.647873085570199	5
"Hl"	0.066742912328885	5
"Dc"	0.285384002100916	5
"Fr"	0.267448323945857	6
"To"	0.323725341627958	6
"Ra"	0.408826334426186	6
"Lp"	1.54128270476742e-51	7
"Cb"	1	7
"Sp"	2.92409681645106e-44	7
"Pt"	0.316738206281283	8
"Dc"	0.0240300579709814	8
"Sp"	0.659231735747736	8
"Fr"	0.634062255874859	9
"Pt"	0.235126863638369	9
"Pm"	0.130810880486772	9
"Be"	0.485649915370897	10
"To"	0.0902805961816688	10
"Dc"	0.424069488447434	10
"Pt"	9.79591962050738e-51	11
"Cb"	1	11
"Sp"	3.33660621758459e-44	11
"Be"	0.654954254057148	12
"Fr"	0.0322259693100191	12
"Dc"	0.312819776632833	12
"Be"	0.243965269717046	13
"Hl"	0.0316443788379845	13
"To"	0.72439035144497	13
"Sp"	0.238048748577607	14
"Ra"	0.752133692040119	14
"Pm"	0.0098175593822738	14
"Be"	0.998734467983328	15
"Pg"	2.00754949579731e-10	15
"Ra"	0.00126553181591707	15
"Be"	0.831237296038134	16
"Pt"	1.74211459362375e-05	16
"Pm"	0.168745282815929	16
"Be"	0.358293770331811	17
"Pt"	0.208247326682565	17
"To"	0.433458902985624	17
"Be"	2.55074703861537e-45	18
"Cb"	0.999992098134662	18
"Ra"	7.90186533766492e-06	18
"Cb"	0.000169070425444988	19
"To"	0.188468355062201	19
"Ra"	0.811362574512354	19
"Pt"	0.23511842258026	20
"Dc"	0.000587352543753467	20
"Pg"	0.764294224875986	20
"Pt"	1.43051594402324e-50	21
"Cb"	0.999992098020061	21
"Ra"	7.90197993873334e-06	21
"Cb"	0.050303437322068	22
"To"	0.361306723228297	22
"Pm"	0.588389839449635	22
"Lp"	0.162848502685926	23
"To"	0.074653050642994	23
"Ra"	0.76249844667108	23
"Be"	0.996021667661494	24
"Pt"	0.00397833217335197	24
"Pg"	1.65154351299167e-10	24
"Be"	0.831033206716153	25
"Ra"	0.000256922443420186	25
"Pm"	0.168709870840427	25
"Fr"	0.603821654623358	26
"Hl"	0.00330974546341607	26
"To"	0.392868599913226	26
"Hl"	4.2338708801271e-07	27
"Sp"	2.30656336720453e-08	27
"Pg"	0.999999553547278	27
"Fr"	0.826111882451953	28
"Hl"	0.0737496433975659	28
"Dc"	0.100138474150481	28
"Hl"	0.000121785236273399	29
"Lp"	0.328779467024685	29
"Ra"	0.671098747739041	29
"Fr"	0.0935634198106472	30
"Ra"	0.688105528206499	30
"Pm"	0.218331051982854	30
"Pt"	0.2352566299909	31
"Pg"	0.764743330080267	31
"Ra"	3.9928832972684e-08	31
"Be"	0.995891285168973	32
"Pt"	0.00410856383423736	32
"Sp"	1.50996790110995e-07	32
"Be"	0.997643206882857	33
"Sp"	1.51264821273155e-07	33
"Ra"	0.00235664185232153	33
"Fr"	0.697103300221048	34
"Pt"	0.295905526232235	34
"Sp"	0.00699117354671757	34
"Hl"	0.256582207154602	35
"Pt"	0.74087639032731	35
"Ra"	0.00254140251808827	35
"Fr"	0.581921289668081	36
"To"	0.207602593986979	36
"Dc"	0.21047611634494	36
"Lp"	2.34997392471156e-20	37
"Cb"	1	37
"Pg"	4.4397996174703e-17	37
"Hl"	1.49409611470536e-07	38
"Pg"	0.99999817877899	38
"Pm"	1.67181139830699e-06	38
"Be"	0.059670030007329	39
"Fr"	0.535455810717794	39
"To"	0.404874159274876	39
"Cb"	0.999987665162417	40
"Ra"	1.23348375828564e-05	40
"Pm"	1.16138831251244e-30	40
"Fr"	1.41854308797618e-51	41
"Pt"	1.35541170967312e-50	41
"Cb"	1	41
"Be"	0.882271160888739	42
"Hl"	0.115926311909066	42
"Pt"	0.0018025272021952	42
"Lp"	1.75771579606842e-51	43
"Cb"	1	43
"Dc"	4.34596257887143e-49	43
"Lp"	1.76063329782436e-51	44
"Cb"	0.999992097627679	44
"Ra"	7.90237232059329e-06	44
"Fr"	0.90494641319034	45
"Hl"	0.0945538350026267	45
"Sp"	0.000499751807033409	45
"Be"	0.624633618661224	46
"Lp"	0.241599149963573	46
"Dc"	0.133767231375203	46
"Fr"	0.0361686817895134	47
"Lp"	0.953629357508262	47
"Pt"	0.0102019607022245	47
"Pg"	0.999992426236214	48
"Ra"	7.26672491503772e-06	48
"Pm"	3.0703887054594e-07	48
