"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"1"	"control"	"Hp_Be_Ao"	3	2020	0.00215883143784982	9.12682969472683	0	0.001	0	0.333333333333333	-0.333333333333333
"2"	"control"	"Hp_Be_Dg"	3	2020	0.132921731674146	6.32416373206112	1	0.143	0	0.333333333333333	0.666666666666667
"3"	"control"	"Hp_Be_Fr"	3	2020	0.0209543596396539	16.1903763196064	0	0.02	0	0	0
"4"	"control"	"Hp_Be_Hl"	3	2020	0.0101098118582741	8.84134357745032	0	0.005	0.001	0.333333333333333	-0.333333333333333
"5"	"control"	"Hp_Be_Lp"	3	2020	0.0568057539939778	11.9826910830532	0	0.058	0	0.333333333333333	-0.333333333333333
"6"	"control"	"Hp_Be_Pt"	3	2020	0.0957977955501198	19.7821694445394	0	0.066	0.003	0.333333333333333	-0.333333333333333
"7"	"control"	"Hp_Be_Am"	3	2020	0.0041565493074027	11.4849756540589	0	-0.003	0	0.333333333333333	-0.333333333333333
"8"	"control"	"Hp_Be_Cj"	3	2020	0.0336641391809139	3.93915904319944	1	0.03	0.002	0.333333333333333	0.666666666666667
"9"	"control"	"Hp_Be_Cb"	3	2020	0.034280782186829	36.0784518012244	0	0.005	0	0	0
"10"	"control"	"Hp_Be_To"	3	2020	0.154680339913587	16.5199503598341	0	0.14	0	0.333333333333333	-0.333333333333333
"11"	"control"	"Hp_Be_Dc"	3	2020	0.107302282722502	19.6996062279838	0	0.061	0.01	0.666666666666667	-0.666666666666667
"12"	"control"	"Hp_Be_Sp"	3	2020	0.0392437350309868	6.73929739546343	1	0.036	0	0.333333333333333	0.666666666666667
"13"	"control"	"Hp_Be_Pg"	3	2020	0.0961537634455916	4.55946071586275	1	0.069	0	0.333333333333333	0.666666666666667
"14"	"control"	"Hp_Be_Ra"	3	2020	0.0531803163071598	39.5437876956515	0	-0.011	0.004	0.333333333333333	-0.333333333333333
"15"	"control"	"Hp_Be_Pm"	3	2020	0.0251090682417562	11.6999346367606	0	0.006	0.011	0.666666666666667	-0.666666666666667
"16"	"control"	"Hp_Be_Ga"	3	2020	0.0207776992828952	12.4751661975447	0	-0.025	0.014	0.666666666666667	-0.666666666666667
"17"	"control"	"Hp_Ao_Dg"	3	2020	0.0189642568211388	2.10880005743563	1	0.026	0	0.666666666666667	0.333333333333333
"18"	"control"	"Hp_Ao_Fr"	3	2020	0.0329893886186905	12.440790808083	0	0.035	0	0.333333333333333	-0.333333333333333
"19"	"control"	"Hp_Ao_Hl"	3	2020	0.0283768278802957	5.01234358608142	1	0.005	0.011	0.666666666666667	0.333333333333333
"20"	"control"	"Hp_Ao_Lp"	3	2020	0.114992092328911	9.23634251105699	1	0.091	0.008	0.666666666666667	0.333333333333333
"21"	"control"	"Hp_Ao_Pt"	3	2020	0.0921194097037415	12.5086438098296	0	0.092	0	0.666666666666667	-0.666666666666667
"22"	"control"	"Hp_Ao_Am"	3	2020	0.00430930325932506	2.50565573286982	0	-0.01	0	0.666666666666667	-0.666666666666667
"23"	"control"	"Hp_Ao_Cj"	3	2020	0.0469693759350506	13.7626370462504	1	-0.00199999999999999	0.031	1	0
"24"	"control"	"Hp_Ao_Cb"	3	2020	0.052719575623213	34.1702077813797	0	0.003	0.003	0.333333333333333	-0.333333333333333
"25"	"control"	"Hp_Ao_To"	3	2020	0.0505552855692336	7.63190878286752	1	-0.00600000000000001	0.035	1	0
"26"	"control"	"Hp_Ao_Dc"	3	2020	0.0387428504623249	8.37148401229202	0	-0.005	0.025	1	-1
"27"	"control"	"Hp_Ao_Sp"	3	2020	0.00163684954743564	4.76913337863578	0	0.002	0	0.666666666666667	-0.666666666666667
"28"	"control"	"Hp_Ao_Pg"	3	2020	0.00423127636918058	18.8130528946082	0	-0.016	0	0.666666666666667	-0.666666666666667
"29"	"control"	"Hp_Ao_Ra"	3	2020	0.0616010436345428	42.4272391551568	0	0.016	0	0.333333333333333	-0.333333333333333
"30"	"control"	"Hp_Ao_Pm"	3	2020	0.0183612406874524	10.5722700905132	0	0.006	0.009	1	-1
"31"	"control"	"Hp_Ao_Ga"	3	2020	0.054847300847448	19.8933368732357	0	0.003	0	0.666666666666667	-0.666666666666667
"32"	"control"	"Hp_Dg_Fr"	3	2020	0.0675150727006964	9.49260214898278	0	0.068	0	0	0
"33"	"control"	"Hp_Dg_Hl"	3	2020	0.00451063919540959	19.364303651634	0	0.008	0	0	0
"34"	"control"	"Hp_Dg_Lp"	3	2020	0.212067923200589	7.89129786914262	1	0.186	0.005	0.333333333333333	0.666666666666667
"35"	"control"	"Hp_Dg_Pt"	3	2020	0.113066402810032	17.7663242381574	0	0.053	0.027	0.333333333333333	-0.333333333333333
