"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"
"nitrogen"	"Hp_Be_Ao"	3	"2020"	0.168346967652973	8.72535986417549	1	-0.028	0.162	1
"nitrogen"	"Hp_Be_Dg"	3	"2020"	0.121465907255077	20.9186512567792	0	0.104	0.013	0.666666666666667
"nitrogen"	"Hp_Be_Fr"	3	"2020"	0.00438435145277932	3.98792841437731	0	-0.005	0	0.666666666666667
"nitrogen"	"Hp_Be_Hl"	3	"2020"	0.0840105013603596	4.80462330103716	1	-0.043	0.079	1
"nitrogen"	"Hp_Be_Lp"	3	"2020"	0.129908797609198	11.7875728836508	1	0.062	0.066	1
"nitrogen"	"Hp_Be_Pt"	3	"2020"	0.1361864419836	14.5391078377825	0	0.07	0.032	0.666666666666667
"nitrogen"	"Hp_Be_Am"	3	"2020"	0.143117952182208	9.12873845082604	1	0.027	0.09	1
"nitrogen"	"Hp_Be_Cj"	3	"2020"	0.0585161022809988	4.85076288473319	1	0.001	0.01	0.666666666666667
"nitrogen"	"Hp_Be_Cb"	3	"2020"	0.134493486904548	42.5276215974394	0	-0.084	0.014	0.666666666666667
"nitrogen"	"Hp_Be_To"	3	"2020"	0.023571348214575	11.8394183229891	0	-0.001	0.005	0.666666666666667
"nitrogen"	"Hp_Be_Dc"	3	"2020"	0.265253092183886	17.3782289771662	1	0.026	0.174	1
"nitrogen"	"Hp_Be_Sp"	3	"2020"	0.219904299482694	7.68645019145896	1	0.02	0.161	1
"nitrogen"	"Hp_Be_Pg"	3	"2020"	0.0794377380614209	6.02914407267077	0	-0.017	0.035	1
"nitrogen"	"Hp_Be_Ra"	3	"2020"	0.375762137544201	14.2110539515006	1	0.134	0.136	1
"nitrogen"	"Hp_Be_Pm"	3	"2020"	0.0485649974278279	13.9830731336535	0	-0.015	0.026	1
"nitrogen"	"Hp_Be_Ga"	3	"2020"	0.00280384438160867	5.17264128511377	0	-0.001	0	0.666666666666667
"nitrogen"	"Hp_Ao_Dg"	3	"2020"	0.203511610437087	10.95194609404	1	0.024	0.121	1
"nitrogen"	"Hp_Ao_Fr"	3	"2020"	0.0134500997675654	2.08653383448068	0	-0.005	0.007	0.666666666666667
"nitrogen"	"Hp_Ao_Hl"	3	"2020"	0.192583670266404	9.38268067162964	1	0.018	0.137	1
"nitrogen"	"Hp_Ao_Lp"	3	"2020"	0.145012717742752	7.00931908494573	1	0.114	0.026	1
"nitrogen"	"Hp_Ao_Pt"	3	"2020"	0.192607091191214	16.178810852156	0	0.067	0.04	0.666666666666667
"nitrogen"	"Hp_Ao_Am"	3	"2020"	0.306417805353583	6.86227489370058	1	0.028	0.192	1
"nitrogen"	"Hp_Ao_Cj"	3	"2020"	0.0816953181107161	5.0137418316599	1	-0.001	0.052	0.666666666666667
"nitrogen"	"Hp_Ao_Cb"	3	"2020"	0.181972681191634	30.9506580771502	0	-0.087	0.067	0.666666666666667
"nitrogen"	"Hp_Ao_To"	3	"2020"	0.030586189089671	13.6780826313408	0	0.022	0	0.333333333333333
"nitrogen"	"Hp_Ao_Dc"	3	"2020"	0.552068499483457	16.3406924956611	1	0.085	0.306	1
"nitrogen"	"Hp_Ao_Sp"	3	"2020"	0.127363277782623	12.1451396132141	0	-0.058	0.152	1
"nitrogen"	"Hp_Ao_Pg"	3	"2020"	0.149663170333744	8.46688211303564	1	0.001	0.082	1
"nitrogen"	"Hp_Ao_Ra"	3	"2020"	0.530299426628676	24.9761931984238	1	0.053	0.289	1
"nitrogen"	"Hp_Ao_Pm"	3	"2020"	0.274824461584281	13.4401774910604	1	0.072	0.224	1
"nitrogen"	"Hp_Ao_Ga"	3	"2020"	0.0153970317886384	7.12819900211473	0	-0.01	0.004	0.666666666666667
"nitrogen"	"Hp_Dg_Fr"	3	"2020"	0.0086259330335465	5.31687858908158	0	0.008	0.001	0.666666666666667
"nitrogen"	"Hp_Dg_Hl"	3	"2020"	0.0659057082840735	6.47912977938963	1	-0.043	0.067	1
"nitrogen"	"Hp_Dg_Lp"	3	"2020"	0.112612454834838	5.68440900640642	1	0.113	0	0.666666666666667
"nitrogen"	"Hp_Dg_Pt"	3	"2020"	0.0510392939577556	15.789528806626	0	0.055	0	0.333333333333333
"nitrogen"	"Hp_Dg_Am"	3	"2020"	0.0334988670271717	15.3279893239695	0	-0.024	0.034	0.666666666666667
"nitrogen"	"Hp_Dg_Cj"	3	"2020"	0.00172365643158501	18.1077506481631	0	0	0	0.333333333333333
"nitrogen"	"Hp_Dg_Cb"	3	"2020"	0.0448777580564604	6.60156368222628	1	0.022	0	0.666666666666667
"nitrogen"	"Hp_Dg_To"	3	"2020"	0.188550677291879	26.4112228906711	0	0.129	0	0.333333333333333
"nitrogen"	"Hp_Dg_Dc"	3	"2020"	0.131291983798591	17.8131144978144	1	-0.056	0.07	1
"nitrogen"	"Hp_Dg_Sp"	3	"2020"	0.110256146410043	14.3357911430681	0	0.047	0.052	0.666666666666667
"nitrogen"	"Hp_Dg_Pg"	3	"2020"	0.0857477803197575	19.4109839394355	0	0.089	0	0.666666666666667
