plot	sp1	sp2	sp3
1	To	Dc	Ra
2	Cb	Dc	Pg
3	Fr	Hl	Ra
4	Lp	Pt	Dc
5	Be	Hl	Dc
6	Fr	To	Ra
7	Lp	Cb	Sp
8	Pt	Dc	Sp
9	Fr	Pt	Pm
10	Be	To	Dc
11	Pt	Cb	Sp
12	Be	Fr	Dc
13	Be	Hl	To
14	Sp	Ra	Pm
15	Be	Pg	Ra
16	Be	Pt	Pm
17	Be	Pt	To
18	Be	Cb	Ra
19	Cb	To	Ra
20	Pt	Dc	Pg
21	Pt	Cb	Ra
22	Cb	To	Pm
23	Lp	To	Ra
24	Be	Pt	Pg
25	Be	Ra	Pm
26	Fr	Hl	To
27	Hl	Sp	Pg
28	Fr	Hl	Dc
29	Hl	Lp	Ra
30	Fr	Ra	Pm
31	Pt	Pg	Ra
32	Be	Pt	Sp
33	Be	Sp	Ra
34	Fr	Pt	Sp
35	Hl	Pt	Ra
36	Fr	To	Dc
37	Lp	Cb	Pg
38	Hl	Pg	Pm
39	Be	Fr	To
40	Cb	Ra	Pm
41	Fr	Pt	Cb
42	Be	Hl	Pt
43	Lp	Cb	Dc
44	Lp	Cb	Ra
45	Fr	Hl	Sp
46	Be	Lp	Dc
47	Fr	Lp	Pt
48	Pg	Ra	Pm
