"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-1.70906458401457	-6.68281683181491	-26.1063613704247	-4.24200718389771	-2.81775327278615	-4.01627658451398	-5.54397768247469	-0.322898190173019	-1.46132475643348	-2.87635466055962	-3.6785256857391	-1.61773249462347	-2.35431681797038	-2.72140947393331	-3.62864317115069	-13.8441124557198	-2.6060925931187	-8.43918645808112
"Be"	-3.74698217814565	-1.33107098482869	-2.64698922475353	-9.08094017916413	-0.236987214940126	-2.56969891110774	-0.933241520280075	1.88217318701888	-1.850970746427	-3.47318702546958	-2.22674965636327	-13.944436883705	0.256625833368676	-1.89702471276212	-3.42346455808298	27.2135351396352	-1.29369545665733	-3.9272309489631
"Ao"	-3.38244566328709	-4.66868694155483	-2.30825711406046	-2.69088265829635	-6.82728248505589	-4.21913636707988	-3.84157670977346	-3.34727353074617	-2.63289312931198	-2.36401791216202	-4.48456263127477	-0.770400464236122	-4.752305818267	-1.81986408893624	-0.502786400521797	-6.56783359272566	-2.3953006546211	-1.09202241546318
"Dg"	-6.89019659054752	-3.10122300978159	-12.0217002821578	-1.14758602792334	-2.54208829932689	-4.04616017353903	-1.47453611811398	-0.773670919195051	-1.86539624074299	-2.12658503597717	-0.791767343864764	-1.44240060834733	-1.20179504044864	-3.48723991500237	-1.35953104431812	-39.4132773359839	-1.64078966536508	-1.76025544471496
"Fr"	-3.66547546066031	-5.13508449538517	-1.75978196097353	-5.86762549355857	-1.88844686914391	-2.42490910459451	-3.53273047342321	3.90595487333905	-2.81510636220634	-2.81436525794349	-1.87544537584806	-4.94392041328367	1.36290118476508	-4.1785419738134	-2.72203897975891	-50.3867399239609	-2.38883639745841	-1.35942576287341
"Hl"	-4.41756629999333	2.95122322281957	-7.55987874631225	-8.70441224722541	0.473832425028112	-6.34588011617677	-5.60634768180689	-2.62194264383593	-4.04059442374034	-4.82239182097369	-5.34404229191292	-3.43477422511716	-1.31705767805042	-1.35578074087036	-9.7815447657653	17.7517605748175	-3.38462379635649	-6.96502475233389
"Lp"	-4.43975079611247	1.06742448145889	10.0367106714013	1.01785514676549	-3.69038661088323	-3.13804520884043	-3.99117789549516	1.93198148585046	-1.2566175010286	-1.68412210166364	-2.76422147137038	-12.6635274019814	6.57894918243302	-2.37240313177738	-3.54359347176332	31.5933864974811	-1.80327483869545	-3.37278022346714
"Pt"	-5.90504031073062	-2.19129810012599	2.91891859784118	5.10832310672167	1.24519266818645	-2.16077325519652	-3.72692030270887	-1.91310373864891	-1.08028708197905	-2.00171802541089	-1.30865406271454	-5.81104138837207	0.944113007657184	0.0503331527900162	2.70291237451852	68.4760626346291	-1.10889081918758	-3.76114558896778
"Am"	-4.5352376257217	-2.98496492797217	1.7867719284397	-2.17486357039723	-5.71495562020862	-7.19462469115896	-2.90720370041467	-22.5526757870236	-4.92696907175926	-4.16179188338249	-7.66808321665706	-8.40011103226122	-95.8659827256743	-4.12033782506226	-5.21606825346153	-21.0807663281558	-5.29108443759399	-1.85326893218759
"Cj"	-2.87203711639191	-5.33347681227596	-1.27503611326253	-8.77581106701388	-10.0892006525401	-5.05351618596227	-4.56536147731746	-3.94957112966391	-4.43926010888955	-3.89664000257305	-5.95411400537176	-6.34718137649925	-4.25157521232724	-4.91501474106294	-5.55075154103036	-3.30269787784322	-5.44964488813411	-6.11080418739112
"Cb"	3.88976062023094	-1.98110061894411	-0.569567042210642	-3.27266757997343	3.69189283533177	-4.15870800244202	1.37302045155612	1.5704855432564	-1.28294483262864	0.456342209893545	-0.277397741498827	-7.63588296214305	0.863966494506298	1.06519060309297	-1.73762896611203	36.9900526694126	-2.34785347080913	1.19331397095711
"To"	-3.33825862778867	5.82954858699616	-10.9787772666746	-1.9193974950847	-2.75779023926244	-6.54361710549822	-6.54359396469465	-2.45796566652509	-4.56091709686632	-5.09372580842284	-4.98770896127068	-7.75943736555421	-8.97447923477735	-3.9666158358641	-5.26139377575484	6.88636765315466	-3.44989304996829	-1.82353529044244
"Dc"	-1.27859926657582	2.35404829701499	-3.79821900255404	-3.39714276713162	0.308081954103381	-2.65211556793251	0.767327564743235	0.331799422727656	-1.58790247353444	-0.414997313069333	0.947762803799488	-0.161509179684897	-3.92889174878356	-0.441028318535626	0.992570745677357	16.5140188966614	0.614198456919869	-1.20064366942114
"Sp"	-1.99122042431005	-28.2265970766213	-28.0059891576197	-6.74149479340566	-7.06144259142176	-6.75572630447467	-2.26653416270541	3.24148464344134	-2.31164564996251	-4.38106049718772	-1.9438821977109	-5.42595583544848	-3.06054244224297	-1.88161976942262	-7.30550095929117	57.759841489636	-1.15052844789207	-1.41043350916214
"Pg"	0.321999973966336	-28.3814220691588	-1.49435616404841	-5.20956246631319	-4.38241828430826	-5.2115747704299	-1.85988317691567	-0.0959281231053974	-1.7063608642378	-0.0323474326514266	-1.33407143688823	-0.0203274705190614	2.30387611868406	-1.45337471533914	-0.558664162042967	10.9673133688339	0.257333139558827	1.17076596117533
"Ra"	-2.32817141606833	-5.11884558266507	6.18623043713255	-1.46700345142489	-12.4074608301194	-7.40546832758445	-0.610366466540755	-15.9833780172863	-1.87766806964914	-1.24674053340254	1.12845805501623	1.04069032227974	-1.13374610140651	-0.249368368764997	-1.79963336490086	1.81092938277346	-1.14812318965426	-6.52076164283234
"Pm"	-4.86533955661281	-0.951972039897604	-0.700931995277148	-15.1269763709083	-2.2939342234261	-8.64392879864227	-5.34417710604929	-1.97310559373597	-5.23615835499241	-5.58587571256094	-3.15192512722016	-10.1178546526566	-14.4948742015176	-8.14561331871788	-9.56057085429006	96.4486638434392	-4.13710674143674	-2.93894058693582
