"Hp"	"Be"	"Ao"	"Dg"	"Fr"	"Hl"	"Lp"	"Pt"	"Am"	"Cj"	"Cb"	"To"	"Dc"	"Sp"	"Pg"	"Ra"	"Pm"	"Ga"
"Hp"	-3.04236449799538	-3.72473052327684	-5.07135851700967	-1.81923632129464	-5.1332016694269	-2.94573754538915	-5.00721972980722	-6.02123858935423	-1.571015655589	-4.42557984038732	-1.68810530888099	-3.38443719915383	13.2970157559665	-1.62907090731185	-17.9599102785675	13.1082173670585	-0.166274293522444	-7.96208851536327
"Be"	-4.04234667379543	-2.09040144479911	-1.35564210926483	-6.32113257373187	-3.78528473137563	-3.52922044894487	-3.74767230690191	1.38372271349036	-3.58856139759385	-5.79097697327038	-6.7634493408567	-3.00733458086359	1.85133321501898	-0.324396833582715	-2.50415636059795	-8.29210410417789	-4.35537665330339	-3.34979552039035
"Ao"	-2.65803616642403	-7.92808605200746	-4.81610657360817	-1.57241829175402	-2.05181017450473	-7.2140349102579	-7.47151157233706	1.73992252858165	-1.36952565102121	-3.96240714364127	-3.43057185720901	-20.7644658438462	-4.22823206576672	-6.40362328130616	6.45788150447305	53.8729745914073	-4.34114609954879	-3.55874224731966
"Dg"	-3.25415587389553	0.298499311043572	9.02752370211491	-1.3072465306734	-2.66535359388496	-3.80331380249694	-3.13174076524816	0.730485536846335	-3.38243623587148	-4.73465025885805	-2.58238626486142	7.88392777210478	-5.24296939542397	-0.963173759399429	-0.866566821284791	48.0744406715117	-2.63714244418817	-6.39206317835691
"Fr"	-5.94091883821602	-3.07849452872508	-4.58631297239508	-1.68672328501833	-3.81949137407317	-4.73909928540054	-5.27900670110969	1.9513465618916	-4.8032655359965	-1.40478720323676	-0.762230200356845	-0.506257991641097	16.7466859366668	-1.91647528660573	8.66607679157197	-18.2048323720308	-1.04935528768359	-3.56659787984285
"Hl"	-4.94932079715207	-4.39623562410222	1.22520748446678	-2.05682099919963	-12.539339285726	-5.45218310582408	-5.05309363446045	-6.19202235356556	-3.28988967733577	-3.88323738371698	-3.25272245961944	-5.82331514564756	-2.32961786029892	-5.20716739042303	0.271867826808307	-3.17771882074135	-2.6741477312397	-4.51196441016126
"Lp"	0.213879495322768	-3.79982222917642	-9.29799180448192	-3.07473137261423	-2.26827164912972	-2.26873209954982	-1.99166524717308	0.270962282230119	-1.23902296205457	-4.58786501650764	-1.35070868326042	-16.5299595449073	-14.3143473200327	0.839193303756638	8.05647093417124	-52.9684085584692	-0.459830481960682	-1.70774314644302
"Pt"	-6.01601364278485	-0.891332541942762	3.86032360677602	-19.9695046385994	-1.73060113359364	-3.75803836055956	0.716612470713056	-0.785669568795845	-3.01350423541538	-1.83457189300883	-2.58889430784846	-2.60266417631818	-19.949748488703	-3.25746052933037	-1.11834905554639	26.6920316000807	-1.70943178917945	-1.64426095098858
"Am"	-3.78499853015401	-2.61563084527948	4.05348737807928	-3.18267163892582	-7.54638495219547	-5.29305539103858	2.17925837013352	-4.08280568125085	-3.83957181513846	-6.29045654266055	-5.29444563502947	-0.0736431990390827	-4.99194384827142	-4.12413337317565	-3.65023437704579	2.62736704065998	-4.5268951180842	-4.07460467392727
"Cj"	-6.07574858171954	2.09645328312962	-0.413543572976491	-10.1091668486972	-8.75175445228679	-5.90282379048832	-7.95314949809243	-0.61285487254222	-5.05278103881555	-8.2540990491831	-8.38445053267524	-8.8900869225945	-9.38387734431618	-6.29669560073801	-14.0919949098587	203.781483114131	-2.52843471285846	-4.8648109423004
