"triplets"	"splim.1"	"splim.2"	"splim.3"	"splim.4"	"splim.5"	"splim.6"	"splim.7"	"splim.8"	"splim.9"	"splim.10"	"splim.11"	"splim.12"	"splim.13"	"splim.14"	"splim.15"	"splim.16"	"splim.17"	"splim.18"	"splim.19"	"splim.20"	"splim.21"	"splim.22"	"splim.23"	"splim.24"	"splim.25"	"splim.26"	"splim.27"	"splim.28"	"splim.29"	"splim.30"	"splim.31"	"splim.32"	"splim.33"	"splim.34"	"splim.35"	"splim.36"	"splim.37"	"splim.38"	"splim.39"	"splim.40"	"splim.41"	"splim.42"	"splim.43"	"splim.44"	"splim.45"	"splim.46"	"splim.47"	"splim.48"	"splim.49"	"splim.50"	"splim.51"	"splim.52"	"splim.53"	"splim.54"	"splim.55"	"splim.56"	"splim.57"	"splim.58"	"splim.59"	"splim.60"	"splim.61"	"splim.62"	"splim.63"	"splim.64"	"splim.65"	"splim.66"	"splim.67"	"splim.68"	"splim.69"	"splim.70"	"splim.71"	"splim.72"	"splim.73"	"splim.74"	"splim.75"	"splim.76"	"splim.77"	"splim.78"	"splim.79"	"splim.80"	"splim.81"	"splim.82"	"splim.83"	"splim.84"	"splim.85"	"splim.86"	"splim.87"	"splim.88"	"splim.89"	"splim.90"	"splim.91"	"splim.92"	"splim.93"	"splim.94"	"splim.95"	"splim.96"	"splim.97"	"splim.98"	"splim.99"	"splim.100"	"year_to_extinction.1"	"year_to_extinction.2"	"year_to_extinction.3"	"year_to_extinction.4"	"year_to_extinction.5"	"year_to_extinction.6"	"year_to_extinction.7"	"year_to_extinction.8"	"year_to_extinction.9"	"year_to_extinction.10"	"year_to_extinction.11"	"year_to_extinction.12"	"year_to_extinction.13"	"year_to_extinction.14"	"year_to_extinction.15"	"year_to_extinction.16"	"year_to_extinction.17"	"year_to_extinction.18"	"year_to_extinction.19"	"year_to_extinction.20"	"year_to_extinction.21"	"year_to_extinction.22"	"year_to_extinction.23"	"year_to_extinction.24"	"year_to_extinction.25"	"year_to_extinction.26"	"year_to_extinction.27"	"year_to_extinction.28"	"year_to_extinction.29"	"year_to_extinction.30"	"year_to_extinction.31"	"year_to_extinction.32"	"year_to_extinction.33"	"year_to_extinction.34"	"year_to_extinction.35"	"year_to_extinction.36"	"year_to_extinction.37"	"year_to_extinction.38"	"year_to_extinction.39"	"year_to_extinction.40"	"year_to_extinction.41"	"year_to_extinction.42"	"year_to_extinction.43"	"year_to_extinction.44"	"year_to_extinction.45"	"year_to_extinction.46"	"year_to_extinction.47"	"year_to_extinction.48"	"year_to_extinction.49"	"year_to_extinction.50"	"year_to_extinction.51"	"year_to_extinction.52"	"year_to_extinction.53"	"year_to_extinction.54"	"year_to_extinction.55"	"year_to_extinction.56"	"year_to_extinction.57"	"year_to_extinction.58"	"year_to_extinction.59"	"year_to_extinction.60"	"year_to_extinction.61"	"year_to_extinction.62"	"year_to_extinction.63"	"year_to_extinction.64"	"year_to_extinction.65"	"year_to_extinction.66"	"year_to_extinction.67"	"year_to_extinction.68"	"year_to_extinction.69"	"year_to_extinction.70"	"year_to_extinction.71"	"year_to_extinction.72"	"year_to_extinction.73"	"year_to_extinction.74"	"year_to_extinction.75"	"year_to_extinction.76"	"year_to_extinction.77"	"year_to_extinction.78"	"year_to_extinction.79"	"year_to_extinction.80"	"year_to_extinction.81"	"year_to_extinction.82"	"year_to_extinction.83"	"year_to_extinction.84"	"year_to_extinction.85"	"year_to_extinction.86"	"year_to_extinction.87"	"year_to_extinction.88"	"year_to_extinction.89"	"year_to_extinction.90"	"year_to_extinction.91"	"year_to_extinction.92"	"year_to_extinction.93"	"year_to_extinction.94"	"year_to_extinction.95"	"year_to_extinction.96"	"year_to_extinction.97"	"year_to_extinction.98"	"year_to_extinction.99"	"year_to_extinction.100"
"Cb_Dc_Pg"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	"Cb"	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
"Fr_Hl_Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	"Ra"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
"Lp_Pt_Dc"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	"Pt"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Fr_To_Ra"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	"Fr"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"Lp_Cb_Sp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	"Lp"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"Pt_Dc_Sp"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	"Dc"	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
"Fr_Pt_Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	"Pm"	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"Be_To_Dc"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	"Be"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
"Pt_Cb_Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	"Sp"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
